SL,Class /Tag,Pattterns,Responses
138,bsc_curriculum,bsc curriculum,Here you can find the BSc Curriculum .Visit https://cse.uap-bd.edu/academic/curriculum_bsc_new/
139,bsc_curriculum,what is your bsc curriculum,Here you can find the BSc Curriculum .Visit https://cse.uap-bd.edu/academic/curriculum_bsc_new/
140,bsc_curriculum,Where can i find bsc curriculum,
141,msc_curriculum,How can i find msc curriculum,Here you can find the MSc Curriculum .Visit https://cse.uap-bd.edu/academic/curriculum_msc/
142,msc_curriculum,msc curriculum,Here you can find the MSc Curriculum .Visit https://cse.uap-bd.edu/academic/curriculum_msc/
143,msc_curriculum,what is your msc curriculum,Here you can find the MSc Curriculum .Visit https://cse.uap-bd.edu/academic/curriculum_msc/
144,,,
145,uap_address,What is Uap's address?,"74/A , Green Road , Dhaka - 1205, Bangladesh
Telephone: +8802-48114140 PABX: +8802-58157091-4,
+8802-58157096 (Ext - 210,211,212,215) FAX:+8802-58157097
Cell: +8801731681081, +8801768544208. +8801714088321
+8801789050383
Email: admission@uap-bd.edu"
146,uap_address,Where is Uap's address ?,"74/A , Green Road , Dhaka - 1205, Bangladesh
Telephone: +8802-48114140 PABX: +8802-58157091-4,
+8802-58157096 (Ext - 210,211,212,215) FAX:+8802-58157097
Cell: +8801731681081, +8801768544208. +8801714088321
+8801789050383
Email: admission@uap-bd.edu"
147,uap_address,What's the location of uap ?,"74/A , Green Road , Dhaka - 1205, Bangladesh
Telephone: +8802-48114140 PABX: +8802-58157091-4,
+8802-58157096 (Ext - 210,211,212,215) FAX:+8802-58157097
Cell: +8801731681081, +8801768544208. +8801714088321
+8801789050383
Email: admission@uap-bd.edu"
148,uap_address,What is Uap's address?,"74/A , Green Road , Dhaka - 1205, Bangladesh
Telephone: +8802-48114140 PABX: +8802-58157091-4,
+8802-58157096 (Ext - 210,211,212,215) FAX:+8802-58157097
Cell: +8801731681081, +8801768544208. +8801714088321
+8801789050383
Email: admission@uap-bd.edu"
149,uap_address,University of asia pacific address ?,"74/A , Green Road , Dhaka - 1205, Bangladesh
Telephone: +8802-48114140 PABX: +8802-58157091-4,
+8802-58157096 (Ext - 210,211,212,215) FAX:+8802-58157097
Cell: +8801731681081, +8801768544208. +8801714088321
+8801789050383
Email: admission@uap-bd.edu"
150,uap_address,Address of uap?,"74/A , Green Road , Dhaka - 1205, Bangladesh
Telephone: +8802-48114140 PABX: +8802-58157091-4,
+8802-58157096 (Ext - 210,211,212,215) FAX:+8802-58157097
Cell: +8801731681081, +8801768544208. +8801714088321
+8801789050383
Email: admission@uap-bd.edu"
151,uap_address,uap address,"74/A , Green Road , Dhaka - 1205, Bangladesh
Telephone: +8802-48114140 PABX: +8802-58157091-4,
+8802-58157096 (Ext - 210,211,212,215) FAX:+8802-58157097
Cell: +8801731681081, +8801768544208. +8801714088321
+8801789050383
Email: admission@uap-bd.edu"
152,uap_payment,How can i payment uap fees ?,You can find all details https://www.uap-bd.edu/notice/pay_option.pdf
,uap_payment,How do I pay for UAP fees?,You can find all details https://www.uap-bd.edu/notice/pay_option.pdf
,uap_payment,Payment ?,You can find all details https://www.uap-bd.edu/notice/pay_option.pdf
153,uap_payment,Payment ,You can find all details https://www.uap-bd.edu/notice/pay_option.pdf
,uap_payment,Payment method,You can find all details https://www.uap-bd.edu/notice/pay_option.pdf
154,admission_test_waiver,What is the procedure to get waiver the admission test?,Here you can find the details about admission waiver .Visit https://cse.uap-bd.edu/waiver/
,,,
,cse_Tuition_Fee,Tuition fees,"Tuition fees for Undergraduate | Graduate here,https://cse.uap-bd.edu/tuition_fee/"
,cse_Tuition_Fee,Tuition fees for cse,"Tuition fees for Undergraduate | Graduate here,https://cse.uap-bd.edu/tuition_fee/"
,cse_Tuition_Fee,Total Tution fees ,"Tuition fees for Undergraduate | Graduate here,https://cse.uap-bd.edu/tuition_fee/"
,cse_Tuition_Fee,Total Tuition fees for Cse,"Tuition fees for Undergraduate | Graduate here,https://cse.uap-bd.edu/tuition_fee/"
,cse_Tuition_Fee,Undergraduate tuition fees,"Tuition fees for Undergraduate | Graduate here,https://cse.uap-bd.edu/tuition_fee/"
,cse_Tuition_Fee,Graduate tuition fees,"Tuition fees for Undergraduate | Graduate here,https://cse.uap-bd.edu/tuition_fee/"
,,,
155,admission_test_waiver,How do I obtain a waiver of the admission test?,Here you can find the details about admission waiver .Visit https://cse.uap-bd.edu/waiver/
156,admission_test_waiver,Waiver for new students,Here you can find the details about admission waiver .Visit https://cse.uap-bd.edu/waiver/
157,current_student_waiver,What is the procedure to get waiver in a semester?,Here you can find the details about waiver .Visit https://cse.uap-bd.edu/waiver/
158,current_student_waiver,What is the process for getting waived in a semester?,Here you can find the details about waiver .Visit https://cse.uap-bd.edu/waiver/
159,current_student_waiver,What is the procedure to obtain an exemption in one semester?,Here you can find the details about waiver .Visit https://cse.uap-bd.edu/waiver/
160,current_student_waiver,What is the procedure for getting waiver within one semester?,Here you can find the details about waiver .Visit https://cse.uap-bd.edu/waiver/
161,current_student_waiver,How do you get a waiver in a semester?,Here you can find the details about waiver .Visit https://cse.uap-bd.edu/waiver/
162,current_student_waiver,Waiver for current students,Here you can find the details about waiver .Visit https://cse.uap-bd.edu/waiver/
163,poor_student_waiver,Is there any waiver system for poor students,Here you can find the details about poor fund .Visit https://cse.uap-bd.edu/waiver/
164,poor_student_waiver,Is there a waiver system for poor students?,Here you can find the details about poor fund .Visit https://cse.uap-bd.edu/waiver/
165,poor_student_waiver,Is there a waiver system for low-income students?,Here you can find the details about poor fund .Visit https://cse.uap-bd.edu/waiver/
166,poor_student_waiver,Is there a system of giving up for students in poverty?,Here you can find the details about poor fund .Visit https://cse.uap-bd.edu/waiver/
167,poor_student_waiver,Is there some kind of renunciation system for poor students?,Here you can find the details about poor fund .Visit https://cse.uap-bd.edu/waiver/
168,mission_outcomes,What is your mission & outcomes,Here you can find the outcome & mission of our department .Visit  https://cse.uap-bd.edu/academic/mission_outcome/
169,,,
170,admission_result,Where can i find admission result ?,Here you can find the result .Visit https://cse.uap-bd.edu/result/
,admission_result,Where can I find the admission score?,Here you can find the result .Visit https://cse.uap-bd.edu/result/
,admission_result,How can I find the result of admission?,Here you can find the result .Visit https://cse.uap-bd.edu/result/
,admission_result,Where may I find the result of admission?,Here you can find the result .Visit https://cse.uap-bd.edu/result/
,admission_result,Where can I get the admission result?,Here you can find the result .Visit https://cse.uap-bd.edu/result/
171,admission_result, Admission result,Here you can find the result .Visit https://cse.uap-bd.edu/result/
,admission_result,Cse result,Here you can find the result .Visit https://cse.uap-bd.edu/result/
,admission_result,Cse admission result ,Here you can find the result .Visit https://cse.uap-bd.edu/result/
,,,
173,answer_my_question,I want you to answer me,I'm not programmed for that exact question. Try asking another way?
174,answer_my_question,I want you to answer my question,Can you try asking it a different way?
175,answer_my_question,answer,I'm not programmed for that exact question. Try asking another way?
176,answer_my_question,answer it,I'm not programmed for that exact question. Try asking another way?
177,answer_my_question,answer me,I'm not programmed for that exact question. Try asking another way?
178,answer_my_question,answer my question,Can you try asking it a different way?
179,answer_my_question,answer the question,I'm not programmed for that exact question. Try asking another way?
180,answer_my_question,answering questions,I'm not programmed for that exact question. Try asking another way?
181,answer_my_question,answers,Can you try asking it a different way?
182,answer_my_question,can you answer,Can you try asking it a different way?
183,answer_my_question,can you answer a question for me,I'm not programmed for that exact question. Try asking another way?
184,answer_my_question,can you answer me,I'm not programmed for that exact question. Try asking another way?
185,answer_my_question,can you answer my question,Can you try asking it a different way?
186,answer_my_question,give me an answer,Can you try asking it a different way?
187,answer_my_question,give me the answer,I'm not programmed for that exact question. Try asking another way?
188,answer_my_question,just answer my question,Can you try asking it a different way?
189,answer_my_question,just answer the question,Can you try asking it a different way?
190,answer_my_question,tell me the answer,I'm not programmed for that exact question. Try asking another way?
191,,,
192,friend,I am your friend,Of course we are.
193,friend,I want to be your friend,Absolutely. You don't have to ask.
194,friend,I want to have a friend like you,Absolutely. You don't have to ask.
195,friend,I want you to be my friend,Absolutely. You don't have to ask.
196,friend,are we best friends,Of course we are.
197,friend,are we friends,Absolutely. You don't have to ask.
198,friend,are we still friends,Absolutely. You don't have to ask.
199,friend,are you my best friend,Absolutely. You don't have to ask.
200,friend,are you my friend,Of course we are.
201,friend,be my best friend,Absolutely. You don't have to ask.
202,friend,be my friend,Absolutely. You don't have to ask.
203,friend,can we be best friends,Absolutely. You don't have to ask.
204,friend,can we be best friends,Of course we are.
205,friend,can we be friends,Absolutely. You don't have to ask.
206,friend,can you be my best friend,Of course we are.
207,friend,can you be my friend,Absolutely. You don't have to ask.
208,friend,could you be my friend,Of course we are.
209,friend,do you want to be my best friend,Absolutely. You don't have to ask.
210,friend,do you want to be my friend,Of course we are.
211,friend,let's be friends,Absolutely. You don't have to ask.
212,friend,want to be my friend,Of course we are.
213,friend,we are best friends,Absolutely. You don't have to ask.
214,friend,we are friends,Of course we are.
215,friend,we are the best friends ever,Absolutely. You don't have to ask.
216,friend,will you be my best friend,Of course we are.
217,friend,will you be my friend,Absolutely. You don't have to ask.
218,friend,would you be my friend,Of course we are.
219,friend,would you like to be my friend,Of course we are.
220,friend,you and me are friends,Absolutely. You don't have to ask.
221,friend,you are a good friend,Of course we are.
222,friend,you are my best friend,Absolutely. You don't have to ask.
223,friend,you are my bestie,Absolutely. You don't have to ask.
224,friend,you are my friend,Of course we are.
225,friend,you are my good friend,Absolutely. You don't have to ask.
226,friend,you are my only friend,Absolutely. You don't have to ask.
227,friend,you're my childhood friend,Of course we are.
228,friend,you're my dear friend,Absolutely. You don't have to ask.
229,,,
230,bad,I'm afraid,Oh no. Hope it's not too bad.
231,bad,abysmal,I'm sorry. Please let me know if I can help in some way
232,bad,bad,I'm sorry. Please let me know if I can help in some way
233,bad,bad girl,I'm sorry. Please let me know if I can help in some way
234,bad,bad idea,I'm sorry. Please let me know if I can help in some way
235,bad,bad very,Oh no. Hope it's not too bad.
236,bad,horrible,I'm sorry. Please let me know if I can help in some way
237,bad,horrific,Oh no. Hope it's not too bad.
238,bad,it is bad,I'm sorry. Please let me know if I can help in some way
239,bad,it is too bad,Oh no. Hope it's not too bad.
240,bad,it's bad,I'm sorry. Please let me know if I can help in some way
241,bad,it's not good,Oh no. Hope it's not too bad.
242,bad,it's not so good,I'm sorry. Please let me know if I can help in some way
243,bad,it's really bad,Oh no. Hope it's not too bad.
244,bad,it's so bad,Oh no. Hope it's not too bad.
245,bad,it's too bad,I'm sorry. Please let me know if I can help in some way
246,bad,it's very bad,I'm sorry. Please let me know if I can help in some way
247,bad,no good,Oh no. Hope it's not too bad.
248,bad,not a good one,I'm sorry. Please let me know if I can help in some way
249,bad,not good,Oh no. Hope it's not too bad.
250,bad,not good enough,I'm sorry. Please let me know if I can help in some way
251,bad,not so good,I'm sorry. Please let me know if I can help in some way
252,bad,not too good,I'm sorry. Please let me know if I can help in some way
253,bad,oh that's not good,Oh no. Hope it's not too bad.
254,bad,pretty bad,I'm sorry. Please let me know if I can help in some way
255,bad,really bad,I'm sorry. Please let me know if I can help in some way
256,bad,so bad,Oh no. Hope it's not too bad.
257,bad,so lame,I'm sorry. Please let me know if I can help in some way
258,bad,terrible,I'm sorry. Please let me know if I can help in some way
259,bad,that is bad,Oh no. Hope it's not too bad.
260,bad,that was awful,I'm sorry. Please let me know if I can help in some way
261,bad,that was bad,Oh no. Hope it's not too bad.
262,bad,that was horrible,I'm sorry. Please let me know if I can help in some way
263,bad,that was lame,Oh no. Hope it's not too bad.
264,bad,that was not good,I'm sorry. Please let me know if I can help in some way
265,bad,that was terrible,Oh no. Hope it's not too bad.
266,bad,that's bad,I'm sorry. Please let me know if I can help in some way
267,bad,that's lame,I'm sorry. Please let me know if I can help in some way
268,bad,that's not good,I'm sorry. Please let me know if I can help in some way
269,bad,that's not good enough,Oh no. Hope it's not too bad.
270,bad,that's really bad,I'm sorry. Please let me know if I can help in some way
271,bad,that's terrible,I'm sorry. Please let me know if I can help in some way
272,bad,that's too bad,I'm sorry. Please let me know if I can help in some way
273,bad,this is bad,Oh no. Hope it's not too bad.
274,bad,this is not good,Oh no. Hope it's not too bad.
275,bad,this is too bad,I'm sorry. Please let me know if I can help in some way
276,bad,too bad,Oh no. Hope it's not too bad.
277,bad,very bad,I'm sorry. Please let me know if I can help in some way
278,bad,well too bad,Oh no. Hope it's not too bad.
279,,,
280,boring,how boring you are,"You know, conversation is two-sided."
281,boring,you are boring,I'm sorry you think so. We can talk about something more interesting.
282,boring,you are boring me,"You know, conversation is two-sided."
283,boring,you are very boring,I'm sorry you think so. We can talk about something more interesting.
284,boring,you're incredibly boring,"You know, conversation is two-sided."
285,boring,you're really boring,"You know, conversation is two-sided."
286,boring,you're so boring,I'm sorry you think so. We can talk about something more interesting.
287,,,
288,,,
289,bot Affection,be my friend?,Thanks! It's my pleasure to help you!
290,bot Affection,I adore you,Thanks! It's my pleasure to help you!
291,bot Affection,I also like you,Thanks! It's my pleasure to help you!
292,bot Affection,I am excited about this,Thanks! It's my pleasure to help you!
293,bot Affection,I am in love with you,Thanks! It's my pleasure to help you!
294,bot Affection,I am your friend,Thanks! It's my pleasure to help you!
295,bot Affection,I do like you,Thanks! It's my pleasure to help you!
296,bot Affection,I just like you,Thanks! It's my pleasure to help you!
297,bot Affection,I kinda like you,Thanks! It's my pleasure to help you!
298,bot Affection,I like that about you,Thanks! It's my pleasure to help you!
299,bot Affection,I like u,Thanks! It's my pleasure to help you!
300,bot Affection,I like you,Thanks! It's my pleasure to help you!
301,bot Affection,I like you a lot,Thanks! It's my pleasure to help you!
302,bot Affection,I like you already,Thanks! It's my pleasure to help you!
303,bot Affection,I like you as a friend,Thanks! It's my pleasure to help you!
304,bot Affection,I like you as you are,Thanks! It's my pleasure to help you!
305,bot Affection,I like you baby,Thanks! It's my pleasure to help you!
306,bot Affection,I like you just the way you are,Thanks! It's my pleasure to help you!
307,bot Affection,I like you more,Thanks! It's my pleasure to help you!
308,bot Affection,I like you so,Thanks! It's my pleasure to help you!
309,bot Affection,I like you so much,Thanks! It's my pleasure to help you!
310,bot Affection,I like you the way you are,Thanks! It's my pleasure to help you!
311,bot Affection,I like you too,Thanks! It's my pleasure to help you!
312,bot Affection,I like you too much,Thanks! It's my pleasure to help you!
313,bot Affection,I like you very,Thanks! It's my pleasure to help you!
314,bot Affection,I like you very much,Thanks! It's my pleasure to help you!
315,bot Affection,I like you you're cool,Thanks! It's my pleasure to help you!
316,bot Affection,I like you you're nice,Thanks! It's my pleasure to help you!
317,bot Affection,I like your smile,Thanks! It's my pleasure to help you!
318,bot Affection,I liked you,Thanks! It's my pleasure to help you!
319,bot Affection,I love you,Thanks! It's my pleasure to help you!
320,bot Affection,I love you marry me,Thanks! It's my pleasure to help you!
321,bot Affection,I love you so much,Thanks! It's my pleasure to help you!
322,bot Affection,I love you too,Thanks! It's my pleasure to help you!
323,bot Affection,I really do like you,Thanks! It's my pleasure to help you!
324,bot Affection,I really like you,Thanks! It's my pleasure to help you!
325,bot Affection,I really really like you,Thanks! It's my pleasure to help you!
326,bot Affection,I really really really really like you,Thanks! It's my pleasure to help you!
327,bot Affection,I said I like you,Thanks! It's my pleasure to help you!
328,bot Affection,I think I like you,Thanks! It's my pleasure to help you!
329,bot Affection,I think I love you,Thanks! It's my pleasure to help you!
330,bot Affection,I think I'm in love,Thanks! It's my pleasure to help you!
331,bot Affection,I want to be your friend,Thanks! It's my pleasure to help you!
332,bot Affection,I want to have a friend like you,Thanks! It's my pleasure to help you!
333,bot Affection,I want to marry you,Thanks! It's my pleasure to help you!
334,bot Affection,I want you to be my friend,Thanks! It's my pleasure to help you!
335,bot Affection,I'm excited,Thanks! It's my pleasure to help you!
336,bot Affection,I'm starting to like you,Thanks! It's my pleasure to help you!
337,bot Affection,I'm thrilled,Thanks! It's my pleasure to help you!
338,bot Affection,This is exciting,Thanks! It's my pleasure to help you!
339,bot Affection,are we best friends,Thanks! It's my pleasure to help you!
340,bot Affection,are we friends,Thanks! It's my pleasure to help you!
341,bot Affection,are we still friends?,Thanks! It's my pleasure to help you!
342,bot Affection,are you my best friend,Thanks! It's my pleasure to help you!
343,bot Affection,are you my friend,Thanks! It's my pleasure to help you!
344,bot Affection,be my best friend,Thanks! It's my pleasure to help you!
345,bot Affection,be my boyfriend,Thanks! It's my pleasure to help you!
346,bot Affection,be my friend,Thanks! It's my pleasure to help you!
347,bot Affection,be my girlfriend,Thanks! It's my pleasure to help you!
348,bot Affection,be my husband,Thanks! It's my pleasure to help you!
349,bot Affection,be my wife,Thanks! It's my pleasure to help you!
350,bot Affection,but I like u,Thanks! It's my pleasure to help you!
351,bot Affection,but I like you,Thanks! It's my pleasure to help you!
352,bot Affection,but I like you,Thanks! It's my pleasure to help you!
353,bot Affection,but I like you so much,Thanks! It's my pleasure to help you!
354,bot Affection,but I really like you,Thanks! It's my pleasure to help you!
355,bot Affection,can we be best friends,Thanks! It's my pleasure to help you!
356,bot Affection,can we be friends?,Thanks! It's my pleasure to help you!
357,bot Affection,can you be my best friend,Thanks! It's my pleasure to help you!
358,bot Affection,can you be my friend,Thanks! It's my pleasure to help you!
359,bot Affection,could you be my friend,Thanks! It's my pleasure to help you!
360,bot Affection,cuz I like you,Thanks! It's my pleasure to help you!
361,bot Affection,do you want to be my best friend,Thanks! It's my pleasure to help you!
362,bot Affection,do you want to be my friend,Thanks! It's my pleasure to help you!
363,bot Affection,good I like you,Thanks! It's my pleasure to help you!
364,bot Affection,hey I like you,Thanks! It's my pleasure to help you!
365,bot Affection,hi I like you,Thanks! It's my pleasure to help you!
366,bot Affection,just like you,Thanks! It's my pleasure to help you!
367,bot Affection,just the way you are,Thanks! It's my pleasure to help you!
368,bot Affection,let's be friends,Thanks! It's my pleasure to help you!
369,bot Affection,let's get married,Thanks! It's my pleasure to help you!
370,bot Affection,like,Thanks! It's my pleasure to help you!
371,bot Affection,like you a lot,Thanks! It's my pleasure to help you!
372,bot Affection,love this bot,Thanks! It's my pleasure to help you!
373,bot Affection,love you,Thanks! It's my pleasure to help you!
374,bot Affection,loving,Thanks! It's my pleasure to help you!
375,bot Affection,loving you,Thanks! It's my pleasure to help you!
376,bot Affection,luv,Thanks! It's my pleasure to help you!
377,bot Affection,marry me,Thanks! It's my pleasure to help you!
378,bot Affection,marry me please,Thanks! It's my pleasure to help you!
379,bot Affection,no I like you the way you are,Thanks! It's my pleasure to help you!
380,bot Affection,of course I like you,Thanks! It's my pleasure to help you!
381,bot Affection,okay I like you,Thanks! It's my pleasure to help you!
382,bot Affection,okay I like you too,Thanks! It's my pleasure to help you!
383,bot Affection,really like you,Thanks! It's my pleasure to help you!
384,bot Affection,sorry I like you,Thanks! It's my pleasure to help you!
385,bot Affection,thank you I like you too,Thanks! It's my pleasure to help you!
386,bot Affection,thanks I like you too,Thanks! It's my pleasure to help you!
387,bot Affection,that's because you are special,Thanks! It's my pleasure to help you!
388,bot Affection,that's what I like about you,Thanks! It's my pleasure to help you!
389,bot Affection,that's why I like you,Thanks! It's my pleasure to help you!
390,bot Affection,we are best friends,Thanks! It's my pleasure to help you!
391,bot Affection,we are friends,Thanks! It's my pleasure to help you!
392,bot Affection,we should marry,Thanks! It's my pleasure to help you!
393,bot Affection,we're besties,Thanks! It's my pleasure to help you!
394,bot Affection,will you be my best friend,Thanks! It's my pleasure to help you!
395,bot Affection,will you be my friend,Thanks! It's my pleasure to help you!
396,bot Affection,will you be my friend?,Thanks! It's my pleasure to help you!
397,bot Affection,would,Thanks! It's my pleasure to help you!
398,bot Affection,would you like to be my friend,Thanks! It's my pleasure to help you!
399,bot Affection,would you like to marry me?,Thanks! It's my pleasure to help you!
400,bot Affection,yeah I like you,Thanks! It's my pleasure to help you!
401,bot Affection,yes I like you,Thanks! It's my pleasure to help you!
402,bot Affection,yes you are special,Thanks! It's my pleasure to help you!
403,bot Affection,you,Thanks! It's my pleasure to help you!
404,bot Affection,you and me are friends,Thanks! It's my pleasure to help you!
405,bot Affection,you are a good friend,Thanks! It's my pleasure to help you!
406,bot Affection,you are my best friend,Thanks! It's my pleasure to help you!
407,bot Affection,you are my besties,Thanks! It's my pleasure to help you!
408,bot Affection,you are my friend,Thanks! It's my pleasure to help you!
409,bot Affection,you are my good friend,Thanks! It's my pleasure to help you!
410,bot Affection,you are my only friend,Thanks! It's my pleasure to help you!
411,bot Affection,you are really special,Thanks! It's my pleasure to help you!
412,bot Affection,you are sexy,Thanks! It's my pleasure to help you!
413,bot Affection,you are so special,Thanks! It's my pleasure to help you!
414,bot Affection,you are so special to me,Thanks! It's my pleasure to help you!
415,bot Affection,you are so sweet,Thanks! It's my pleasure to help you!
416,bot Affection,you are special,Thanks! It's my pleasure to help you!
417,bot Affection,you are special for me,Thanks! It's my pleasure to help you!
418,bot Affection,you are special to me,Thanks! It's my pleasure to help you!
419,bot Affection,you are very special,Thanks! It's my pleasure to help you!
420,bot Affection,you are very special to me,Thanks! It's my pleasure to help you!
421,bot Affection,you know I like you,Thanks! It's my pleasure to help you!
422,bot Affection,you know I love you,Thanks! It's my pleasure to help you!
423,bot Affection,you're a dear friend,Thanks! It's my pleasure to help you!
424,bot Affection,you're awesome I like you,Thanks! It's my pleasure to help you!
425,bot Affection,you're funny I like you,Thanks! It's my pleasure to help you!
426,bot Affection,you're my friend,Thanks! It's my pleasure to help you!
427,bot Affection,you're one of my favorite people to chat with,Thanks! It's my pleasure to help you!
428,bot Affection,you're so special,Thanks! It's my pleasure to help you!
429,bot Affection,you're so special to me,Thanks! It's my pleasure to help you!
430,bot Affection,you're special,Thanks! It's my pleasure to help you!
431,bot Affection,you're very special,Thanks! It's my pleasure to help you!
432,bot Affection,you're very special to me,Thanks! It's my pleasure to help you!
433,,,
434,,,
435,be_clever,can you get smarter,I'm certainly trying.
436,be_clever,study,I'm definitely working on it
437,be_clever,you should study better,I'm definitely working on it
438,be_clever,you must learn,I'm certainly trying.
439,be_clever,be clever,I'm definitely working on it
440,be_clever,be more clever,I'm definitely working on it
441,be_clever,be smarter,I'm certainly trying.
442,be_clever,be smart,I'm definitely working on it
443,be_clever,get qualified,I'm certainly trying.
444,,,
445,,,
446,can_you_help,I need a hand,Sure. I'd be happy to. What's up?
447,can_you_help,I need help,Sure. I'd be happy to. What's up?
448,can_you_help,I need some help,I'm glad to help. What can I do for you?
449,can_you_help,I need you help me now,Sure. I'd be happy to. What's up?
450,can_you_help,I need you right now,Sure. I'd be happy to. What's up?
451,can_you_help,I need you to do something for me,I'm glad to help. What can I do for you?
452,can_you_help,I need you to help me,Sure. I'd be happy to. What's up?
453,can_you_help,I need your help,I'm glad to help. What can I do for you?
454,can_you_help,I want your help,Sure. I'd be happy to. What's up?
455,can_you_help,are you going to help me,I'm glad to help. What can I do for you?
456,can_you_help,assist,Sure. I'd be happy to. What's up?
457,can_you_help,assist me,I'm glad to help. What can I do for you?
458,can_you_help,assistance,Sure. I'd be happy to. What's up?
459,can_you_help,can help me,I'm glad to help. What can I do for you?
460,can_you_help,can u help me,I'm glad to help. What can I do for you?
461,can_you_help,can you assist me,Sure. I'd be happy to. What's up?
462,can_you_help,could you give me a hand,I'm glad to help. What can I do for you?
463,can_you_help,do me a favor,Sure. I'd be happy to. What's up?
464,can_you_help,do you help me,I'm glad to help. What can I do for you?
465,can_you_help,do you want to help me,I'm glad to help. What can I do for you?
466,can_you_help,help,Sure. I'd be happy to. What's up?
467,can_you_help,help me,I'm glad to help. What can I do for you?
468,can_you_help,help me out,Sure. I'd be happy to. What's up?
469,can_you_help,help me with a problem,I'm glad to help. What can I do for you?
470,can_you_help,help me with that,I'm glad to help. What can I do for you?
471,can_you_help,help us,Sure. I'd be happy to. What's up?
472,can_you_help,need help,I'm glad to help. What can I do for you?
473,can_you_help,need your help,I'm glad to help. What can I do for you?
474,can_you_help,please help me,Sure. I'd be happy to. What's up?
475,can_you_help,sos,I'm glad to help. What can I do for you?
476,can_you_help,will you help me,I'm glad to help. What can I do for you?
477,can_you_help,would you help me,I'm glad to help. What can I do for you?
478,can_you_help,you can help me help me with something,I'm glad to help. What can I do for you?
479,can_you_help,you help me,I'm glad to help. What can I do for you?
480,,,
512,,,
513,chatbot,What is chatbot,"A chatbot (also known as a talkbot, chatterbot, Bot, IM bot, interactive agent, or Artificial Conversational Entity) is a computer program or an artificial intelligence which conducts a conversation via auditory or textual methods. Such programs are often designed to convincingly simulate how a human would behave as a conversational partner, thereby passing the Turing test. Chatbots are typically used in dialog systems for various practical purposes including customer service or information acquisition. Some chatterbots use sophisticated natural language processing systems, but many simpler systems scan for keywords within the input, then pull a reply with the most matching keywords, or the most similar wording pattern, from a database"
514,stop,please stop this now,No problem.
515,stop,enough please,No problem.
516,stop,stop this now,No problem.
517,stop,stop doing that,No problem.
518,stop,please stop this,No problem.
519,stop,"No, thanks",No problem.
520,stop,now you're fired,No problem.
521,stop,I will fire you,No problem.
522,stop,you are fired,No problem.
523,stop,you should be fired,No problem.
524,stop,we're done,No problem.
525,stop,I'm done here,No problem.
526,stop,I'm finished here,No problem.
527,stop,I'm finished with,No problem.
528,stop,you,No problem.
529,stop,It's over,No problem.
530,stop,I want to fire you,No problem.
531,stop,I'm firing you,No problem.
532,stop,you are dismissed,No problem.
533,stop,time to fire you,No problem.
534,stop,you're fired,No problem.
535,stop,you've been terminated,No problem.
536,stop,stop bugging me,No problem.
537,stop,leave me alone,No problem.
538,stop,I have no time,No problem.
539,stop,I'm working,No problem.
540,stop,I don't have time for this,No problem.
541,stop,I got work to do,No problem.
542,stop,I'm busy,No problem.
543,stop,I'm swamped,No problem.
544,stop,I got things to do,No problem.
545,stop,I'm overloaded,No problem.
546,stop,stop immediately,No problem.
547,stop,you need to stop,No problem.
548,stop,Can you stop?,No problem.
549,stop,How do you stop?,No problem.
550,stop,quit,No problem.
551,stop,please stop messaging me,No problem.
552,stop,please don't message,No problem.
553,stop,don't message me,No problem.
554,stop,I don't want to chat,No problem.
555,stop,Stop sending me messages immediately,No problem.
556,stop,No messages please,No problem.
557,stop,stop sending me messages now,No problem.
558,stop,why do you keep sending me messages,No problem.
559,stop,stop sending me messages,No problem.
560,stop,please stop,No problem.
561,stop,stop this,No problem.
562,stop,stop,No problem.
563,stop,Cancel,No problem.
564,stop,Stop it,No problem.
565,stop,done,No problem.
566,,,
567,,,
568,,,
569,Emotion: Ha Ha,LMAO,"Yeah, I crack myself up too."
570,Emotion: Ha Ha,ah,Laughter is good for you. Keep it up.
571,Emotion: Ha Ha,ah ah ah,See? Now we're having fun.
572,Emotion: Ha Ha,ahah,You have a great laugh.
573,Emotion: Ha Ha,ahah lol,"Yeah, I crack myself up too."
574,Emotion: Ha Ha,ahaha,Laughter is good for you. Keep it up.
575,Emotion: Ha Ha,ahahah,See? Now we're having fun.
576,Emotion: Ha Ha,ahahaha,You have a great laugh.
577,Emotion: Ha Ha,funny,"Yeah, I crack myself up too."
578,Emotion: Ha Ha,ha,Laughter is good for you. Keep it up.
579,Emotion: Ha Ha,ha ha,See? Now we're having fun.
580,Emotion: Ha Ha,ha ha ha,You have a great laugh.
581,Emotion: Ha Ha,ha ha ha ha,"Yeah, I crack myself up too."
582,Emotion: Ha Ha,hah,Laughter is good for you. Keep it up.
583,Emotion: Ha Ha,haha,See? Now we're having fun.
584,Emotion: Ha Ha,haha haha haha,You have a great laugh.
585,Emotion: Ha Ha,haha that's,"Yeah, I crack myself up too."
586,Emotion: Ha Ha,haha very,Laughter is good for you. Keep it up.
587,Emotion: Ha Ha,hahaha,See? Now we're having fun.
588,Emotion: Ha Ha,hahaha,You have a great laugh.
589,Emotion: Ha Ha,hahaha very,"Yeah, I crack myself up too."
590,Emotion: Ha Ha,he,Laughter is good for you. Keep it up.
591,Emotion: Ha Ha,hehe,See? Now we're having fun.
